Age,Gender,MaritalStatus,EducationLevel,EmploymentStatus,AnnualIncome,LoanAmountRequested,PurposeOfLoan,CreditScore,ExistingLoansCount,LatePaymentsLastYear,LoanApproved
52,Female,Divorced,PhD,Employed,650227.27,2573605.6,Home,597,3,2,0
41,Male,Divorced,Bachelor,Retired,1040593.46,2133704.35,Car,552,0,0,1
31,Female,Divorced,Bachelor,Employed,4837618.93,13829608.05,Personal,496,6,8,0
60,Male,Single,Bachelor,Retired,192509.91,93947.42,Business,568,8,1,1
47,Female,Married,Master,Employed,187371.6,265325.69,Car,773,4,0,1
43,Female,Widowed,Bachelor,Student,103811.24,169435.0,Personal,358,0,6,0
40,Female,Widowed,Other,Employed,1782065.67,7142444.62,Car,595,2,1,1
64,Male,Married,High School,Employed,343317.61,1235720.38,Home,773,8,0,0
32,Female,Single,Bachelor,Employed,72112.31,179659.7,Personal,385,6,4,0
36,Male,Single,High School,Student,146243.44,695659.66,Business,827,4,0,1
60,Male,Divorced,PhD,Employed,730608.83,3603165.94,Home,590,9,0,0
39,Female,Widowed,High School,Employed,3077271.05,8488604.57,Other,808,2,0,1
32,Male,Divorced,High School,Student,2972918.68,5514494.88,Education,508,3,0,1
54,Male,Married,Bachelor,Employed,3575879.98,10670682.89,Other,494,9,1,1
51,Male,Single,Other,Employed,380628.77,931381.75,Personal,793,9,1,0
69,Male,Married,High School,Employed,3640918.09,17509184.49,Business,307,6,6,0
35,Female,Divorced,Bachelor,Employed,2091370.29,9915471.03,Education,374,1,2,0
27,Female,Married,Master,Employed,770639.47,637448.55,Home,399,1,2,1
21,Female,Widowed,Other,Employed,990886.83,1601490.23,Personal,633,9,1,0
34,Male,Widowed,Bachelor,Self-employed,282730.61,115774.39,Education,802,0,2,1
50,Female,Widowed,Bachelor,Employed,167585.8,430974.23,Business,709,7,1,0
52,Female,Married,Master,Employed,3000604.22,12727378.57,Personal,528,0,1,1
61,Male,Single,Other,Employed,299248.72,1299356.93,Home,698,3,0,0
44,Male,Married,High School,Employed,1533330.7,2047214.9,Other,549,6,0,1
19,Female,Divorced,High School,Employed,72266.16,39034.29,Business,624,6,0,1
29,Male,Single,High School,Employed,511033.01,425584.03,Education,357,2,1,0
61,Male,Divorced,Bachelor,Self-employed,123576.33,164604.63,Education,335,7,8,0
47,Male,Single,Bachelor,Employed,1100793.92,2931937.01,Home,794,5,0,1
54,Female,Divorced,Other,Employed,89811.59,184377.82,Other,393,6,5,0
23,Male,Married,Master,Employed,89476.77,435849.52,Personal,396,9,3,0
69,Male,Widowed,Bachelor,Self-employed,207344.16,690122.53,Education,611,4,0,0
22,Female,Single,High School,Employed,4248305.26,11025161.2,Car,645,3,0,1
19,Female,Single,Master,Employed,500768.86,1236740.91,Business,356,5,6,0
22,Male,Single,Bachelor,Unemployed,553146.2,476359.65,Personal,616,6,1,1
50,Male,Divorced,Other,Employed,193890.96,101518.24,Car,717,2,0,0
41,Female,Single,Bachelor,Unemployed,69769.69,307321.56,Personal,386,5,7,0
50,Female,Married,Master,Employed,734199.42,294874.84,Other,660,1,1,1
47,Male,Divorced,Bachelor,Employed,1843501.05,3366751.92,Car,464,8,1,1
53,Female,Single,Other,Employed,1458408.75,6814057.28,Education,661,4,0,1
34,Male,Single,Bachelor,Employed,1198428.55,2949335.71,Home,368,2,8,0
47,Male,Divorced,High School,Employed,513398.51,2106885.02,Education,743,4,0,1
40,Female,Single,Other,Employed,941358.4,3398432.74,Car,423,6,9,0
28,Female,Divorced,Bachelor,Self-employed,77399.56,134035.7,Business,505,0,3,0
21,Male,Married,Master,Employed,79122.11,113547.28,Home,727,6,0,0
58,Female,Single,High School,Student,63494.22,299498.74,Other,589,1,2,0
47,Female,Married,Master,Student,1185001.34,766403.56,Education,381,6,7,0
31,Male,Divorced,Other,Employed,2037040.97,398568.65,Other,756,0,1,1
42,Male,Married,Other,Employed,2264939.34,1974466.96,Home,626,5,1,1
60,Male,Divorced,Master,Retired,306484.38,372184.35,Home,364,3,7,0
50,Male,Married,High School,Employed,211694.13,500777.52,Education,454,6,2,0
39,Female,Divorced,High School,Employed,2237308.95,11044931.11,Education,606,6,0,0
21,Female,Widowed,Bachelor,Self-employed,56516.48,161281.57,Home,417,5,8,0
60,Female,Married,High School,Self-employed,52754.54,149209.85,Business,663,6,0,1
21,Female,Widowed,PhD,Employed,779684.96,1128514.49,Other,343,8,3,0
39,Male,Single,High School,Self-employed,1184990.68,2281562.72,Home,414,9,2,0
68,Male,Married,Other,Retired,1144436.73,3247653.11,Business,643,4,0,0
34,Female,Divorced,Bachelor,Student,279785.85,799566.9,Other,326,0,8,0
65,Female,Widowed,Bachelor,Unemployed,200118.87,587013.88,Personal,523,5,1,0
36,Female,Married,Bachelor,Employed,63609.61,85360.28,Other,340,0,2,0
68,Female,Single,Other,Unemployed,84078.77,228211.21,Personal,300,7,5,0
24,Male,Single,Bachelor,Employed,88946.01,26981.47,Personal,454,2,8,0
67,Female,Widowed,High School,Student,82011.82,348220.87,Personal,704,7,0,0
35,Female,Married,Bachelor,Employed,163167.31,380999.47,Other,316,3,9,0
60,Female,Single,High School,Employed,60330.93,99156.33,Car,556,6,0,0
32,Female,Married,Bachelor,Employed,2536893.94,9886095.09,Business,516,6,1,0
51,Male,Widowed,Other,Employed,170387.21,446615.89,Car,328,1,6,0
32,Female,Married,Bachelor,Self-employed,1393777.51,1536042.14,Education,485,1,2,0
22,Female,Single,High School,Employed,889249.4,3810149.14,Other,741,7,0,0
35,Male,Single,Master,Employed,80005.5,243769.77,Education,780,3,0,0
45,Female,Divorced,High School,Unemployed,103551.09,73646.26,Other,353,7,0,0
62,Female,Divorced,High School,Employed,2096192.3,2496525.73,Personal,664,6,0,1
41,Male,Single,High School,Employed,802758.79,3958691.54,Home,755,0,3,0
65,Female,Single,Bachelor,Employed,796407.49,2849580.32,Personal,822,4,1,0
60,Male,Widowed,Master,Employed,1049343.42,1765221.5,Personal,534,9,0,0
27,Male,Single,High School,Self-employed,527114.65,1948326.33,Personal,526,8,0,0
59,Male,Married,High School,Employed,493489.18,375274.02,Home,572,9,0,1
42,Male,Married,High School,Employed,1042197.72,2156087.17,Personal,769,7,0,1
60,Female,Widowed,Other,Employed,248879.03,185944.34,Home,446,7,0,0
54,Female,Divorced,High School,Employed,797423.85,2213365.25,Other,594,2,0,0
34,Female,Single,Bachelor,Employed,1103717.11,2595355.66,Business,845,8,3,1
69,Male,Divorced,Bachelor,Employed,2428431.43,5966178.13,Other,383,2,0,0
53,Female,Divorced,Bachelor,Employed,789872.76,1922595.83,Home,813,1,2,1
22,Female,Single,Bachelor,Employed,643730.13,2575764.55,Car,300,5,7,0
62,Female,Married,Bachelor,Employed,929051.68,2517996.63,Car,515,3,2,0
23,Male,Widowed,Bachelor,Employed,394188.43,534059.61,Home,366,3,6,0
60,Female,Single,High School,Employed,101646.71,321530.47,Car,486,1,5,0
52,Male,Single,Other,Employed,532066.51,416014.32,Education,430,4,4,0
40,Male,Single,Master,Employed,157051.28,249768.2,Car,723,3,0,1
44,Female,Divorced,Bachelor,Employed,1772910.49,1304083.21,Car,549,2,0,1
36,Female,Single,High School,Employed,195817.48,288372.02,Personal,380,9,7,0
22,Female,Single,High School,Student,1643566.52,1975631.48,Car,300,0,3,0
55,Male,Single,High School,Student,2236724.91,9165026.31,Personal,784,3,1,0
53,Female,Widowed,High School,Employed,1947166.9,9440418.82,Home,557,5,3,0
48,Female,Married,Bachelor,Self-employed,164539.33,291104.61,Car,335,9,1,0
29,Female,Divorced,Master,Employed,2886070.46,5906304.07,Home,447,0,8,0
60,Male,Single,High School,Self-employed,2037067.36,3895798.17,Education,626,5,0,0
22,Male,Divorced,Master,Employed,360097.65,357736.27,Education,788,5,1,1
46,Male,Widowed,PhD,Employed,94296.56,179953.22,Education,697,5,0,1
63,Female,Single,High School,Student,243599.93,852603.49,Other,786,2,0,0
33,Male,Widowed,Master,Employed,325252.8,926313.61,Car,395,4,9,0
26,Male,Widowed,Bachelor,Employed,2343917.47,2102484.29,Personal,739,2,0,1
36,Female,Widowed,High School,Employed,2015247.22,8190489.11,Home,404,6,7,0
59,Female,Single,Bachelor,Retired,62964.98,275837.34,Home,341,2,1,0
24,Male,Single,High School,Student,2832476.02,12947748.58,Other,446,6,4,0
54,Female,Divorced,Bachelor,Employed,1375178.73,772544.77,Home,648,5,0,1
59,Female,Single,High School,Student,114731.31,484559.31,Business,306,0,5,0
47,Female,Single,High School,Employed,145719.19,396432.66,Education,409,8,5,0
59,Male,Single,High School,Employed,203996.07,916595.24,Personal,622,5,0,0
22,Male,Single,Bachelor,Employed,133378.16,415986.78,Personal,476,4,9,0
56,Male,Married,Master,Unemployed,255541.84,854046.54,Personal,799,5,1,1
65,Female,Divorced,Master,Employed,408870.55,813849.2,Education,692,3,0,1
67,Female,Widowed,High School,Self-employed,221492.05,368034.85,Other,516,7,1,0
42,Male,Divorced,Bachelor,Employed,2235403.23,3563028.99,Other,844,9,0,1
21,Female,Married,Other,Employed,164563.51,593458.46,Personal,696,6,0,0
54,Female,Divorced,PhD,Employed,1198842.17,5312775.9,Education,300,9,2,0
30,Female,Divorced,Master,Employed,1602998.95,995789.39,Education,345,3,4,0
57,Female,Married,Bachelor,Employed,942536.32,1461603.16,Car,690,4,0,1
35,Male,Divorced,High School,Employed,3981428.8,19525047.72,Car,570,1,0,0
20,Male,Widowed,Bachelor,Unemployed,104613.58,289591.67,Personal,542,0,1,0
34,Female,Divorced,High School,Self-employed,136102.24,183121.59,Education,509,9,0,0
29,Male,Divorced,High School,Self-employed,4537632.28,4286761.54,Education,436,2,0,1
26,Male,Married,Bachelor,Self-employed,58418.22,175632.29,Car,402,6,1,0
22,Male,Widowed,Bachelor,Employed,97774.92,25797.53,Personal,528,2,0,1
22,Female,Widowed,High School,Employed,2251258.17,1404576.48,Other,547,3,0,1
48,Female,Widowed,Other,Employed,157254.34,525236.34,Business,690,9,1,0
28,Female,Married,Bachelor,Employed,102501.78,113939.09,Business,678,9,1,0
27,Female,Single,Bachelor,Unemployed,102864.32,490586.74,Business,472,4,1,0
44,Male,Single,Bachelor,Employed,325166.37,599134.57,Car,735,7,0,1
35,Female,Single,Master,Employed,310989.67,431755.92,Business,506,9,0,0
56,Female,Married,Bachelor,Employed,1883006.61,2290548.79,Personal,569,1,0,1
69,Male,Single,Bachelor,Employed,128737.89,477928.54,Personal,684,6,0,0
41,Female,Widowed,Bachelor,Employed,120194.33,272428.28,Home,339,4,2,0
49,Female,Single,Bachelor,Self-employed,228853.92,690507.9,Home,779,7,0,1
28,Male,Divorced,High School,Employed,3355798.54,4866671.94,Business,710,7,0,1
41,Female,Single,Bachelor,Unemployed,121698.58,410468.61,Home,301,1,4,0
46,Female,Divorced,High School,Self-employed,756203.69,818983.89,Other,458,9,4,0
41,Male,Widowed,High School,Retired,667340.55,3156682.55,Car,377,4,8,0
58,Male,Married,Master,Employed,793370.54,538275.8,Other,330,0,5,0
46,Female,Divorced,Other,Employed,715223.12,1876683.56,Other,647,3,0,0
40,Female,Divorced,High School,Employed,1387608.95,646406.61,Business,802,2,0,1
35,Female,Married,High School,Self-employed,334433.59,453684.48,Education,305,2,2,0
38,Female,Married,High School,Student,129658.91,584910.91,Other,587,0,2,0
69,Female,Single,High School,Self-employed,1103453.5,5039394.01,Education,486,1,5,0
57,Male,Widowed,Bachelor,Retired,98304.47,240557.95,Business,300,8,9,0
67,Male,Divorced,High School,Self-employed,1807611.24,2489268.54,Education,389,7,8,0
53,Male,Single,High School,Unemployed,94564.28,356128.41,Personal,478,1,6,0
60,Female,Widowed,High School,Employed,54410.34,88564.28,Education,650,3,0,0
59,Female,Widowed,Bachelor,Student,249626.55,844877.59,Business,593,1,0,1
61,Female,Single,Bachelor,Employed,706946.57,3483707.52,Home,436,0,8,0
26,Female,Divorced,High School,Student,4371982.35,20734731.59,Car,786,6,0,1
37,Male,Single,Bachelor,Student,171046.38,416755.38,Business,752,4,0,1
57,Female,Widowed,High School,Employed,163120.68,44191.6,Personal,525,4,0,1
37,Female,Single,Master,Employed,3756158.9,10357829.25,Business,722,7,0,1
62,Male,Single,PhD,Employed,473330.01,1698754.81,Home,747,2,2,0
21,Male,Married,Master,Employed,428309.04,683680.06,Car,536,6,2,0
59,Male,Married,Bachelor,Student,2848259.81,10959939.07,Other,312,9,3,0
32,Male,Widowed,Master,Employed,936947.84,3542823.04,Education,673,2,2,0
19,Male,Divorced,High School,Employed,329351.65,1477972.88,Personal,359,0,6,0
58,Male,Single,Other,Employed,1440022.44,5866615.9,Other,742,4,1,0
63,Male,Married,High School,Employed,2660893.93,6542540.24,Business,343,6,5,0
54,Male,Widowed,Master,Self-employed,2494818.93,6625833.96,Personal,783,8,1,1
36,Male,Divorced,Other,Unemployed,721987.52,680183.47,Car,393,9,0,0
41,Male,Single,High School,Student,643551.82,1397855.49,Other,611,4,0,0
48,Female,Married,Bachelor,Employed,2026466.47,2030116.28,Personal,432,1,1,1
33,Male,Widowed,Other,Employed,1936828.9,9389208.21,Personal,615,8,0,0
68,Female,Widowed,Bachelor,Student,332257.51,1547229.04,Education,428,3,7,0
40,Male,Widowed,Bachelor,Self-employed,3276040.0,1883937.27,Personal,633,1,0,1
32,Female,Married,Master,Employed,368842.11,539018.94,Business,778,8,0,1
52,Female,Widowed,Other,Student,719191.19,2352562.17,Car,647,0,0,0
47,Female,Widowed,Master,Student,868492.17,438937.6,Home,723,7,1,1
37,Female,Divorced,Bachelor,Employed,160683.78,276592.5,Business,448,1,8,0
64,Female,Single,High School,Employed,254772.35,1020633.33,Car,543,9,1,0
69,Male,Single,Bachelor,Retired,4511477.88,17841397.44,Education,693,4,1,0
28,Male,Divorced,PhD,Employed,683323.3,2852759.72,Personal,752,1,2,0
21,Female,Widowed,High School,Self-employed,721038.36,2422076.74,Home,511,2,0,0
47,Male,Married,Master,Student,3932876.8,9741156.63,Business,768,8,1,1
57,Male,Divorced,Bachelor,Employed,1182624.07,4421875.79,Home,308,5,0,0
28,Male,Single,High School,Employed,1276398.52,3867186.11,Car,569,7,0,0
55,Female,Single,Bachelor,Unemployed,361087.69,1745380.58,Car,522,6,1,0
66,Female,Married,Bachelor,Employed,4467956.45,13938797.2,Home,784,4,0,1
47,Male,Divorced,Other,Employed,2707060.79,7158040.05,Business,846,9,1,1
56,Male,Widowed,Bachelor,Employed,1634071.91,8051915.32,Business,745,4,0,0
37,Female,Married,Master,Employed,560838.96,1367289.4,Home,516,0,0,1
67,Female,Single,Master,Employed,144175.95,119068.61,Education,629,1,3,0
23,Female,Widowed,Bachelor,Employed,202493.88,995547.03,Education,450,6,2,0
33,Male,Married,Bachelor,Unemployed,649941.38,2153516.92,Car,523,5,1,0
68,Male,Widowed,Bachelor,Unemployed,82164.0,270009.67,Home,421,8,3,0
34,Male,Widowed,Master,Employed,201443.99,285451.84,Personal,562,6,0,0
37,Male,Widowed,Other,Employed,139372.56,192317.53,Education,581,0,0,0
32,Male,Divorced,Bachelor,Self-employed,482173.48,270880.73,Other,394,5,4,1
57,Female,Widowed,High School,Employed,52483.42,259941.63,Home,645,7,1,0
35,Male,Divorced,Master,Employed,145760.92,460215.8,Car,553,3,1,0
63,Female,Widowed,Bachelor,Employed,681233.79,1915496.47,Business,317,6,4,0
31,Female,Married,Other,Employed,3070327.06,13669497.57,Other,740,6,0,0
55,Male,Divorced,High School,Employed,487714.36,1219610.53,Personal,596,5,0,1
29,Female,Divorced,Other,Unemployed,332734.28,879137.45,Home,300,1,7,0
39,Male,Married,High School,Student,419410.09,85493.39,Business,425,2,4,0
28,Male,Married,High School,Student,895895.53,3283642.92,Education,673,0,0,0
57,Male,Single,Bachelor,Employed,231814.77,190752.67,Car,353,8,8,0
69,Male,Single,Master,Employed,142158.08,661529.08,Personal,664,2,1,0
57,Female,Single,Master,Employed,204095.48,341893.84,Personal,387,6,7,0
66,Female,Single,High School,Employed,229825.19,156605.86,Home,553,4,0,0
46,Female,Married,Master,Employed,76113.15,260827.02,Home,668,5,1,0
18,Male,Single,Bachelor,Self-employed,166907.46,435911.46,Other,451,5,2,0
35,Female,Married,Bachelor,Employed,344444.59,63003.94,Other,500,3,1,0
44,Female,Widowed,Bachelor,Self-employed,4648361.8,918131.73,Business,684,4,2,1
47,Female,Divorced,Bachelor,Employed,503225.87,2203919.18,Home,316,0,0,0
47,Male,Single,Bachelor,Employed,293331.28,650736.7,Home,838,9,0,1
66,Female,Married,High School,Employed,2287367.45,4268842.61,Home,536,6,2,0
40,Female,Divorced,Bachelor,Unemployed,4073853.59,13737475.96,Education,300,5,1,0
52,Male,Divorced,Bachelor,Employed,1836513.06,5080699.7,Education,384,7,2,0
31,Male,Divorced,High School,Employed,50830.58,16675.15,Other,300,1,8,0
66,Female,Single,Master,Employed,4034982.48,1462151.72,Car,690,1,0,1
31,Male,Divorced,Master,Student,4075799.05,979385.37,Car,409,9,0,1
49,Male,Single,Bachelor,Unemployed,199686.24,558850.31,Personal,379,1,2,0
67,Female,Married,High School,Self-employed,4960493.24,19467707.82,Education,457,9,8,0
47,Male,Single,Bachelor,Self-employed,407298.06,1696257.89,Other,806,7,0,1
37,Male,Widowed,High School,Self-employed,81796.88,337284.67,Car,539,5,1,0
55,Female,Widowed,High School,Employed,925823.25,4085328.07,Other,728,5,0,0
33,Female,Widowed,Bachelor,Employed,815837.94,1540811.11,Other,797,2,0,1
52,Male,Widowed,Other,Unemployed,113701.58,297220.5,Other,637,5,2,0
35,Male,Married,Bachelor,Employed,436561.94,2073664.42,Personal,766,8,1,0
49,Female,Married,High School,Student,187310.22,908327.32,Business,634,0,1,0
35,Male,Married,High School,Employed,112845.37,489576.3,Education,579,3,2,0
43,Female,Widowed,PhD,Employed,103161.36,335221.24,Home,594,2,0,0
55,Female,Married,Bachelor,Self-employed,246145.54,925251.14,Business,765,3,0,0
62,Male,Widowed,High School,Employed,4985398.39,16874241.61,Business,814,6,0,1
55,Male,Widowed,Bachelor,Self-employed,882767.37,1574743.83,Business,384,6,8,0
63,Female,Widowed,Other,Self-employed,447644.64,2224564.74,Other,610,1,0,0
62,Female,Married,High School,Employed,558414.05,1437795.13,Home,528,6,1,0
49,Female,Married,Other,Student,1976796.35,5273666.84,Other,554,2,0,0
36,Male,Widowed,High School,Employed,471486.35,868308.0,Personal,408,4,0,0
60,Male,Divorced,High School,Self-employed,80617.69,338268.34,Business,748,1,0,0
32,Female,Single,Other,Employed,522318.59,1964520.34,Education,554,0,0,0
58,Female,Married,High School,Employed,216266.58,865470.94,Other,537,6,1,0
66,Male,Widowed,Bachelor,Unemployed,225385.13,511220.22,Business,605,7,0,0
23,Female,Married,Other,Employed,1508560.56,5369101.93,Business,563,4,0,1
29,Male,Single,High School,Unemployed,1340023.32,5830482.62,Education,300,7,1,0
69,Female,Widowed,Bachelor,Employed,201250.62,804793.71,Education,484,1,8,0
29,Female,Married,Other,Student,839361.45,3119042.21,Car,692,4,1,0
62,Female,Divorced,Master,Employed,290360.1,802442.22,Education,557,6,0,1
50,Male,Divorced,Master,Employed,208208.84,1011761.21,Business,334,5,5,0
62,Male,Single,High School,Employed,4936559.93,13188523.76,Home,599,5,0,1
55,Female,Single,Bachelor,Employed,121046.96,145484.89,Car,449,5,3,0
48,Female,Single,Other,Unemployed,330101.09,1635626.69,Other,509,4,0,0
23,Female,Single,High School,Employed,668587.97,2011827.57,Other,651,5,0,0
69,Male,Single,High School,Self-employed,1146187.56,433090.17,Personal,610,8,1,1
48,Female,Single,Bachelor,Self-employed,2762765.96,10406682.19,Car,777,2,0,0
54,Male,Widowed,Bachelor,Self-employed,771281.54,3104362.23,Personal,518,3,0,1
56,Male,Widowed,High School,Self-employed,82896.45,241049.35,Other,313,0,5,0
39,Male,Divorced,High School,Employed,64584.36,161123.97,Other,588,4,1,0
48,Female,Single,High School,Employed,1587057.88,2223732.35,Personal,584,9,0,0
35,Male,Married,Bachelor,Self-employed,1185698.28,2850908.99,Home,522,6,2,0
69,Male,Divorced,High School,Employed,603746.64,872882.48,Car,671,0,1,0
30,Male,Divorced,Master,Employed,350222.36,1153035.99,Education,442,5,6,0
41,Female,Married,High School,Unemployed,128279.49,126918.32,Education,300,6,7,0
24,Male,Divorced,High School,Self-employed,784443.5,135597.31,Business,494,0,0,1
25,Female,Widowed,High School,Student,69403.83,278557.0,Business,403,1,6,0
29,Male,Divorced,Bachelor,Employed,58061.77,217634.6,Business,373,3,1,0
36,Female,Single,High School,Employed,895153.91,2449669.03,Car,664,6,0,0
55,Male,Widowed,Bachelor,Unemployed,93642.72,421357.47,Education,383,8,3,0
35,Female,Widowed,Master,Employed,1138995.4,1403624.72,Car,519,7,0,1
50,Female,Married,Master,Student,926769.09,1746356.23,Business,738,8,1,1
34,Female,Single,High School,Employed,122834.18,111836.15,Car,727,7,0,0
57,Male,Divorced,Master,Employed,721426.02,3172874.21,Personal,777,8,0,1
69,Male,Married,Bachelor,Self-employed,1003788.5,858210.15,Home,655,2,0,1
34,Female,Married,Bachelor,Self-employed,117770.94,551077.44,Home,807,6,1,0
22,Female,Single,Bachelor,Self-employed,368437.54,402016.41,Other,417,3,9,0
63,Female,Married,Master,Employed,4140549.66,10607151.18,Home,774,9,1,1
22,Male,Widowed,Bachelor,Employed,1298691.03,4404073.86,Car,377,4,0,0
39,Male,Divorced,Bachelor,Unemployed,252002.03,1059032.49,Business,300,2,5,0
28,Female,Married,High School,Employed,1636777.51,1109894.08,Personal,728,2,0,1
25,Male,Widowed,Master,Employed,1389991.97,4678301.48,Car,374,3,9,0
42,Female,Single,Bachelor,Employed,56264.51,260575.7,Other,768,4,0,0
54,Female,Married,Bachelor,Employed,162116.26,418711.74,Education,831,5,1,1
66,Female,Divorced,Master,Employed,191480.05,140007.16,Education,770,1,2,1
58,Female,Single,Master,Retired,2591944.22,1586056.37,Business,547,4,1,1
51,Male,Divorced,High School,Unemployed,416528.26,278442.97,Other,620,8,0,0
35,Female,Single,PhD,Employed,1606859.14,4295137.29,Personal,502,0,2,0
52,Female,Divorced,Master,Employed,79329.33,370276.96,Car,505,3,0,0
37,Female,Divorced,Bachelor,Employed,532445.73,1865293.52,Car,330,1,9,0
65,Female,Single,High School,Employed,577768.14,914874.53,Education,572,6,0,0
41,Female,Married,Other,Student,1083717.6,2966300.25,Other,735,3,0,0
54,Female,Single,High School,Retired,101439.5,99622.56,Other,508,1,1,0
27,Male,Divorced,Bachelor,Employed,489004.88,1508673.46,Other,421,1,3,0
59,Male,Married,Bachelor,Retired,2037007.38,2500265.54,Business,440,2,7,0
57,Male,Widowed,High School,Student,1775260.79,3944794.56,Car,375,9,3,0
63,Male,Married,Master,Employed,222079.24,1073391.79,Education,741,9,0,1
28,Female,Widowed,Bachelor,Retired,250675.93,345111.62,Car,600,8,2,1
53,Male,Divorced,Master,Self-employed,1049471.39,2135106.29,Education,649,9,1,1
45,Female,Single,Bachelor,Employed,122520.43,246819.3,Education,820,7,1,1
53,Female,Divorced,Bachelor,Self-employed,1213939.08,3643919.63,Business,783,7,1,0
42,Female,Divorced,Bachelor,Unemployed,1136989.09,3793687.84,Education,558,8,2,0
36,Male,Widowed,Bachelor,Unemployed,3419841.21,9500182.24,Car,528,9,1,1
20,Female,Widowed,Bachelor,Unemployed,4855577.62,2676770.19,Personal,352,6,9,0
46,Male,Married,Master,Retired,3643369.84,7467469.33,Education,794,3,0,1
20,Female,Divorced,Bachelor,Employed,416508.6,1197748.11,Personal,382,5,6,0
45,Female,Widowed,Bachelor,Employed,171249.42,546156.46,Education,591,5,0,0
69,Male,Divorced,Master,Self-employed,164976.08,115394.01,Other,818,8,0,1
25,Female,Married,Bachelor,Self-employed,1713806.05,6464972.15,Home,566,9,0,0
53,Male,Married,High School,Self-employed,349586.16,467588.71,Other,504,6,0,1
54,Female,Married,PhD,Employed,1003124.0,1188610.21,Car,345,1,0,0
49,Male,Divorced,High School,Employed,259252.42,1253062.68,Personal,829,3,0,1
30,Female,Widowed,Other,Unemployed,2174197.56,10829920.89,Education,431,8,6,0
53,Male,Widowed,Master,Employed,435953.25,1687243.57,Other,327,6,8,0
32,Female,Widowed,Other,Student,436575.51,716479.84,Business,655,3,0,1
37,Male,Divorced,Master,Unemployed,61810.22,113101.52,Other,783,2,1,0
27,Female,Single,High School,Unemployed,2632833.1,12558812.09,Business,482,7,8,0
49,Male,Divorced,High School,Employed,3715874.89,17667145.82,Education,333,4,2,0
31,Male,Widowed,Master,Unemployed,2520777.01,9832814.31,Car,408,5,5,0
37,Female,Divorced,Bachelor,Unemployed,391690.09,530476.18,Home,613,6,2,0
61,Male,Divorced,Bachelor,Self-employed,53385.89,209926.17,Business,746,1,0,0
49,Female,Married,Master,Self-employed,208280.95,983281.69,Home,368,6,2,0
39,Female,Married,Bachelor,Employed,723826.34,872023.41,Personal,305,0,7,0
29,Female,Married,Bachelor,Employed,1218719.66,5737691.59,Business,604,5,0,1
48,Female,Married,Bachelor,Employed,3235246.59,12935626.3,Other,561,9,0,0
26,Female,Married,High School,Unemployed,1540988.62,6454356.16,Personal,443,7,0,0
28,Female,Single,Master,Unemployed,1846063.39,2914955.66,Business,501,0,3,0
42,Male,Single,Other,Employed,86847.39,396582.11,Car,848,1,1,0
34,Male,Married,High School,Unemployed,63672.86,139721.93,Home,762,1,0,0
40,Male,Divorced,Bachelor,Employed,3383161.1,7193060.51,Home,472,9,0,1
62,Male,Married,High School,Unemployed,118157.85,307217.27,Education,511,2,0,0
22,Male,Single,Bachelor,Employed,750905.95,1338438.48,Personal,667,5,0,1
23,Male,Single,Bachelor,Student,776839.46,3773714.49,Personal,840,6,0,0
47,Female,Widowed,Other,Employed,690948.91,1308230.5,Education,756,2,1,0
53,Female,Widowed,Bachelor,Retired,3081706.61,10488825.53,Car,382,9,6,0
65,Male,Divorced,Bachelor,Employed,155112.46,674314.82,Home,539,2,1,0
49,Female,Married,High School,Employed,51932.89,229056.79,Car,379,3,5,0
68,Female,Single,Master,Employed,748700.47,1241272.55,Business,574,8,1,1
31,Female,Married,Bachelor,Employed,124254.43,346367.87,Education,363,3,8,0
59,Male,Widowed,Master,Unemployed,3881338.95,19172217.33,Other,480,4,7,0
32,Female,Divorced,Bachelor,Employed,91257.31,295277.66,Other,694,4,0,0
51,Female,Widowed,High School,Employed,212051.1,481077.4,Other,333,2,0,0
67,Female,Married,High School,Self-employed,421896.65,368018.59,Car,564,5,1,0
68,Male,Married,Master,Self-employed,4001079.03,18952765.68,Education,379,5,4,0
25,Male,Widowed,Other,Employed,54539.92,39479.51,Personal,700,9,1,0
64,Female,Widowed,High School,Employed,121259.62,459223.85,Car,815,0,0,0
43,Female,Married,PhD,Employed,93202.1,133849.17,Other,344,1,1,0
34,Male,Married,Bachelor,Employed,288499.05,55070.48,Car,698,3,0,1
19,Female,Married,Master,Employed,52589.29,49012.37,Other,628,3,0,1
43,Female,Married,High School,Employed,1188332.7,1998527.28,Education,600,7,0,1
56,Male,Single,High School,Self-employed,726411.14,1873645.55,Education,519,3,0,0
31,Female,Divorced,High School,Employed,78796.71,168466.67,Personal,437,9,4,0
50,Female,Divorced,Bachelor,Self-employed,3826308.21,10321212.47,Business,757,0,0,1
21,Male,Single,Bachelor,Employed,274679.47,631763.02,Other,451,0,8,0
51,Male,Widowed,PhD,Retired,230955.41,1042430.3,Home,354,4,1,0
56,Male,Widowed,PhD,Employed,386192.11,954915.62,Car,727,2,0,1
40,Female,Widowed,High School,Student,56093.41,115416.77,Business,842,3,0,0
61,Female,Married,Master,Employed,3229581.52,14080221.41,Car,430,8,8,0
40,Male,Married,High School,Employed,167452.11,546003.32,Personal,766,3,0,0
58,Female,Married,High School,Employed,367385.67,1302210.16,Car,370,5,0,0
63,Male,Widowed,High School,Student,69338.14,191151.48,Personal,759,3,0,0
